mal_id,title_japanese,type,episodes,score,scored_by,rank,year,url
42310,サイバーパンク エッジランナーズ,ONA,10,8.61,621441,91,,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners
19647,はじめの一歩 Rising,TV,25,8.61,155202,93,2013,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
36862,劇場版メイドインアビス 深き魂の黎明,Movie,1,8.61,284780,94,,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
41084,メイドインアビス 烈日の黄金郷,TV,12,8.61,236699,95,2022,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
52701,ダンジョン飯,TV,24,8.6,242807,98,2024,https://myanimelist.net/anime/52701/Dungeon_Meshi
33,剣風伝奇ベルセルク,TV,25,8.6,387642,97,1997,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
4565,劇場版 天元突破グレンラガン 螺巌篇,Movie,1,8.59,108278,101,,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
38329,青春ブタ野郎はゆめみる少女の夢を見ない,Movie,1,8.59,483221,99,,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
7311,涼宮ハルヒの消失,Movie,1,8.59,321370,100,,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
55823,夏目友人帳 漆,TV,12,8.58,14113,105,2024,https://myanimelist.net/anime/55823/Natsume_Yuujinchou_Shichi
3786,シン・エヴァンゲリオン劇場版𝄇,Movie,1,8.58,178757,102,,https://myanimelist.net/anime/3786/Shin_Evangelion_Movie_||
37991,ジョジョの奇妙な冒険 黄金の風,TV,39,8.58,736757,103,2018,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
28957,蟲師 続章: 鈴の雫,Movie,1,8.58,54301,104,,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
